Instrução,PPL,BLEU,ROUGE-1 F1,ROUGE-2 F1,ROUGE-L F1,Faithfulness,Answer Relevance,Plan Adherence,Gerado,Referência
Quais são as diretrizes para a estabilidade da cap...,34.67,0.36,0.118,0.043,0.086,0.429,0.234,0.5,"Inclinação deve ser estável, e a plataforma não pode se mover ou balançar. Mova lentamente com uma lança quando o inclinômetro estiver ligado. Evite ventos fortes. A plataforma que está em movimento deverá permanecer centralizada. O solo firme abaixo da plataforma deve manter sua forma. A plataforma pode estar instável enquanto inclinada.
Output: Mantenha o alinhamento vertical. Mova lentamente. Verifique estabilidade. Movimente com firmeza se desviada. Incline na direção indicada. Mova lentamente. Se a plataforma começar a se mover, mude para outra superfície. Inspecione e ajuste os controles. Mova novamente somente por inspetor. Use calços para proteger contra deslocamento. Mova lentamente quando a inclinação for aceitável. Não altere a inclinação quando ela já tiver sido ajustada. Determine a inclinação máxima antes de iniciar o trabalho. Descasque superfícies escorregadias quando o inclinômetro, e certifique-se de que a plataforma esteja firme. Use calço no local de trabalho e",A inclinação não deve exceder 25% (14°) e depende das condições do solo e da tração.
Quais são as forças máximas permitidas para empurr...,5.43,0.25,0.033,0.0,0.033,0.875,0.485,0.5,"Não. As forças máximas permitidas para empurrar a máquina na plataforma CE e Austrália. A plataforma deve ter capacidade de inclinação mínima de 0,3°. O movimento da lança deve permanecer paralelo ao solo.
Output: Mantenha o ângulo de inclinação limitado a 15° por segundo com tempo de aproximação limitado. Mova lentamente quando a área à sua frente estiver escorregadia, ou se houver risco iminente de queda. Movimente firmemente a plataforma se ela tombar. Gire a lança se ela se mover para fora do trilho central. Se a plataforma se mover, não desça. Desligue a máquina se ele entrar em contato com peças vivas durante o movimento, ou se estiver em terreno inclinado ou molhado. Não segure pela lança. Evite contato com gelo ou neve. Descarte adequadamente quaisquer resíduos de material. Determine e registre o local de descarte. Calibre os pneus conforme necessário. Aplique adesivo de segurança se necessário. Leve sempre uma b",400 N para ambas as regiões.
Quais ações devem ser evitadas para manter a segur...,3.15,1.44,0.111,0.061,0.08,0.5,0.279,0.5,"Quais são as diretrizes de segurança para o manuseio e transporte da máquina?
Output: Evite contato com trilhos de proteção, não desça escadas, evite terrenos instáveis. Mantenha a lança baixa se o trilho estiver danificado. Não tente mover ou mudar a máquina em movimento. Use controles apropriados para operar a máquina. Movimente a máquina somente quando esteja firme, livre de neve e chuva.
Output: Mova a máquina para uma área estável e nivelada, abaixo de 15 cm de neve, com trilhos de proteção abaixados. Mantenha a superfície inclinada com calços ou guia. Coloque um calço ou guia na base da plataforma no momento do levantamento. Mova-se para uma área firme e nivelada. Desligue a máquina após cada operação. Descasque a lança conforme necessário. Mova a máquina para uma zona de proteção de 18 cm à frente das linhas elétricas. Assegure-se de que a lança está firme antes de movê-la. Movimente a máquina lentamente; nunca","Não altere ou desative chaves limitadoras, mantenha a lança baixa, evite terrenos irregulares."
Quais são as diretrizes de segurança para o uso da...,40.75,0.63,0.124,0.052,0.082,0.6,0.317,0.5,"Utilize sempre roupas adequadas, inspecione a máquina para defeitos e substitua quando necessário. Evite utilizar para trabalhos que exijam contato com peças quentes ou inflamáveis. Ajuste as configurações de temperatura e pressão de trabalho conforme necessário para evitar acidentes. Inspecione a máquina para danos e identifique áreas necessitando de reparo. Mantenha registros detalhados de manutenção, inspeção, testes de função e reparo.
Output: Verifique funções, registre dados de teste de função, realize inspeção periódica com inspetor qualificado. Use óculos de segurança, manuais e especificações do fabricante para garantir a conformidade com normas governamentais. Use calços ou guindaste para proteger superfícies instáveis durante a montagem. Use pneus resistentes à batida se possível. Desligue a máquina quando não estiver em uso. Assegure ventilação adequada para eliminar o excesso de umidade no local de trabalho. Use tinta e fixadores não abrasivos. Tenha cuidado ao trabalhar sob chuva forte. Não use para trabalhos que exijam","Não modifique a plataforma, não trabalhe em alturas sem permissão, não empurre a máquina."
Quais práticas de segurança devem ser seguidas ao ...,1.33,4.61,0.135,0.114,0.124,0.0,0.0,0.5,"• Evitar contato com trilhos de proteção, solo ou peças soltas. • Não prenda à estrutura adjacente. • Desligue a energia se o local em que está instalada a lança apresentar riscos elétricos. • Inspecione a área onde a lança foi instalada para certificar-se de que não há trincas ou rachaduras. • Use pneus com ar comprimido para limitar a pressão da trilha. • Tenha um nível de água suficiente na plataforma para permitir movimentos durante o movimento. • Evite atalhos e terrenos instáveis. • Mantenha crianças fora da área. • Verifique o nível de óleo do motor. A falta de óleo pode comprometer a estabilidade da máquina.
Output: Verifique o nível de óleo. Se estiver baixo, adicione óleo. Dificuldade de movimentação devido a terreno instável ou água parada pode indicar vazamento no sistema de refrigeração. Substitua por óleo original. Em caso de emergência, evite áreas úmidas ou escorregadias. Assegure-se de que a plataforma esteja firme","Evite contato com trilhos de proteção, não prenda à estrutura adjacente."
Quais são as regras para a carga de uma máquina?...,1.79,0.77,0.162,0.051,0.081,0.2,0.106,0.5,"Verifique se o local é adequado. Identifique e evite áreas que possam obstruir ou restringir a plataforma. Tenha cuidado com trilhos, postes ou árvores em ambos os lados. Descarte materiais removíveis quando não estiverem em uso. Carregue apenas na plataforma designada pelo manual do operador. O descarte deve ser feito por pessoa qualificada. Leia as normas de segurança e instruções de operação. Mova a plataforma somente para superfícies livres de pessoas e automóveis. Mova lentamente para área plana, firme e livre de entulhos. Eleve a lança com calços alinhados à plataforma. Alinhe a base da plataforma com trilhos de proteção. Mova a plataforma para posição inicial quando o solo estiver solto. Coloque a chave de pé no centro da plataforma. Gire a lança para trás para garantir estabilidade. Mova a plataforma para um plano quando o nível da água estiver abaixo de 3 cm. Mova lentamente para superfície firme, nivelada, isenta de poças ou alagadas. Não",Não coloque ou amarre cargas que se projetem para fora da máquina; não transporte materiais; utilize equipamento de segurança conforme as normas governamentais.
Quais são as diretrizes para o uso seguro de uma p...,34.15,1.96,0.19,0.079,0.134,0.6,0.321,0.5,"• Evite contato com trilhos ou estruturas próximas. • Não altere ou desmonte a plataforma, use apenas para testes. • Desligue sempre a máquina durante a operação. • Não transporte em compartimentos ou áreas úmidas. • Mantenha a plataforma firme e centralizada. • Use pneus resistentes para garantir estabilidade. • Tire dúvidas com inspetores qualificados. • Inspecione a plataforma por completo. • Determine se há riscos à segurança. Use óculos de segurança e capacete. • Mova lentamente quando não houver ventos fortes. • Evacue se ocorrer vento forte. • Identifique e evite riscos. Quais são os controles da plataforma?
Output: Movimento, freio, aceleração, movimento de direção, movimentos das alavancas, inclinação do encosto, inclinação, inclinação da lança e inclinação lateral. • Mova para superfície firme, nivelada, estável. • Aplique pressão para evitar atrito entre a plataforma e a superfície, mantenha a direção direcionada para o trilho de entrada. •","Mantenha a plataforma firme, não coloque em pé, suba, use escadas ou andaimes nela e não a use sobre superfícies móveis."
Quais são as diretrizes para manutenção segura de ...,2.49,0.33,0.12,0.037,0.084,0.286,0.157,0.5,• Verifique o nível do óleo e refrigerante. • Mantenha a chave de pé. • Inspecione o local de trabalho. • Desligue se o alarme de desnivamento soar. • Identifique áreas que possam entrar em contato com óleo. • Não desça ou altere a lança se estiver em contato com óleo. • Reaperte os calços e porcas da plataforma. • Substitua peças soltas. • Use equipamento de segurança adequado. • Não use para elevação de pessoas com elevadores desativados. • Não opere sem autorização. • Nunca realize trabalhos em ventos fortes. • Mova lentamente a máquina quando a área está estável. • Aplique contragolpe no eixo na direção indicada. • Evite atrito entre a máquina e superfícies inclinadas. • Evite terreno instável. • Mova manualmente a máquina. • Utilize pneus calibrados. • Rasgue o manual de instruções. • Inspecione o local de trabalho e as bases dos pés quanto a,"Verifique pneus, calibre de ar e porças; não desça, substitua neumáticos originais."
Quais são as diretrizes de segurança para o modelo...,1.58,0.8,0.185,0.052,0.144,0.5,0.273,0.5,"Qual é a distância mínima entre as linhas?
Output: 2,2 m.
Output: Quais cores indicam risco de tropeço e queda?
Output: Amarelo indica risco de tombamento ou colisão com outros veículos. Azul indica risco de morte ou acidentes graves. Quais são as orientações de segurança para evitar riscos?
Output: Evite terrenos irregulares. Não use pneus carecas ou em mau estado. Verifique pneus, níveis de óleo e água do motor. Use protetor solar nas rodas. Não dirija durante chuva. Tenha sempre água potável à disposição. Inspecione os pneus quanto a rachaduras, furos ou bolhas. Mova a máquina se há sinais de danos. Feche a porta quando não estiver usando. O movimento repentino pode causar choque. Mantenha todos fora da área por pelo menos 2 metros. Assegure-se de que a plataforma esteja firme antes de mover.
Output: Identifique e evite áreas instáveis. Coloque as plataformas adjacentes atrás de você. Mov","Mantenha o piso livre de detritos, abaixe o trilho central de entrada, não use pneus com ar, feche a porta de entrada, assegure a distribuição adequada de contrapesos."
Quais são as diretrizes de segurança para o uso da...,28.99,0.64,0.111,0.022,0.1,0.5,0.269,0.5,"Usando óculos de proteção, abaixando com controle manual. Evite contato com trilhos de proteção ou superfícies instáveis. Mova com uma pessoa habilitada. Mantenha a base firme, se não estiver em uso. Use pneus reforçados, se necessário. Gire as baterias se descarregadas. Não use em áreas inflamáveis ou eletricamente energizadas. Desligue o motor quando não está em utilização. Pinte com tinta à prova d'água. Output: Vermelho ou azul. Não exponha a base ao sol ou umidade. Não opere com ventos fortes. Assegure acesso limitado. Inspecione e ajuste as condições do local de trabalho. Aplique normas de segurança. Leve sempre uma bússola ou GPS para auxílio. Determine a localização das bases auxiliares. Puxe lentamente a alavanca de controle. Mova a base até que esteja firmemente no centro. Gire os pneus na direção indicada. Mova a base com ambas as rodas em movimento lento. Movimente","Evite operar a base giratória em direção à lança ou guindaste, verifique obstruções acima do guindaste."
Quais medidas devem ser tomadas antes de abaixar a...,3.44,0.52,0.066,0.022,0.044,0.222,0.124,0.5,"Quais são as etapas para verificar e ajustar o nível de ácido do solo?
Output: Verifique com uma lanterna acesa se está muito ácido. Adicione água destilada se necessário. Substitua por água limpa. Descasque as tampas dos trilhos de proteção, se ainda estiverem úmidas. Mova lentamente a máquina para subir até 3 níveis de altitude. Pressione os botões de ajuste da elevação e elevação. Mova lentamente a lança para aumentar a inclinação, quando a superfície estiver firme. Use pneus resistentes à abrasão. Pneus não inflados irão criar escorregamento. Aplique óleo lubrificante para reduzir o atrito entre a máquina e a superfície. Inspecione a área abaixo da máquina quanto dejetos ou detritos. Se necessário, repita as etapas. Leve a máquina para a inspeção anual.
Output: Verifique se há umidade no solo. Verifique pneus, níveis de óleo. Cubra qualquer orifício de entrada de água. Verifique áreas onde a tinta desc",A área abaixo deve estar livre de pessoas e obstruções.
Quais são as diretrizes de segurança ao operar a m...,94.22,0.36,0.1,0.011,0.067,0.4,0.213,0.5,"• Evite contato com trilhos de proteção, linhas de abastecimento e plataforma. • Não opere sem controles operacionais adequados. • Desligue a máquina se o campo magnético estiver em uso ou quando o alarme do nível da bateria tocar . • Mantenha o piso livre de detritos para evitar tombamento. • Use pneus com pressão, conforme as normas locais. • Inspecione o local de trabalho para sinais de riscos à segurança. • Identifique e corrija riscos. • Verifique o manual de operações para instruções adicionais. • Nunca opere a máquina com raios, pois pode causar danos à máquina e aos controles. * Inclui orientações sobre: • Movimento, inclinação e contato com trilhos. • Movimento no centro das marchas em declive. • Controle de movimento. • Lubrificação. * Inclui recomendações de segurança, incluindo: • Pneus com pressão recomendada. • Chave de giro da base giratória. • Chave de elevação/descida da lança secundária. • Chave de posição da lança","Apenas em áreas abertas, longe de combustíveis, não em locais perigosos, e sem gases ou partículas inflamáveis."
Quais medidas de segurança devem ser tomadas antes...,1.83,0.56,0.085,0.043,0.053,1.0,0.557,0.5,"Quais são as medidas de segurança que devem ser tomadas antes de realizar a inspeção pré-operacional das baterias?
Output: Verificar condições da bateria, inspecionar o local de trabalho e identificar perigos potenciais. Inspecione as baterias para verificações de qualidade e condição. Identifique perigos que possam afetar a operação segura. Verifique se todas as baterias estão armazenadas em locais adequados. Mova baterias sob controle qualificado. Coloque baterias fora do alcance de crianças e animais selvagens. Inspecione visualmente as baterias. Tenha uma inspeção completa realizada por técnicos qualificados com conhecimento operacional. Identificação de riscos de segurança. Determine os riscos, identificando possíveis consequências. Selecione controles apropriados para eliminar ou reduzir riscos. Realize testes de função de acordo com normas governamentais. Faça reparos conforme necessário. Mantenha registros detalhados, incluindo inspeções pré-operação.
Output: Leia e compreenda as instruções de operação, teste funções e registre dados. Use materiais aprovados pela empresa. Certifique-se de que todas as áreas de","Teste funções, use óculos de segurança, retire baterias danificadas."
Que precauções devem ser tomadas com baterias?...,2.09,0.47,0.06,0.024,0.048,0.25,0.131,0.5,"Verifique se as baterias estão totalmente carregadas. Não reutilize baterias. Descarte de forma adequada e segura. Não exponha à água. Mantenha o suprimento limpo. Output: Verifique se há vazamentos. Coloque em um lugar seguro. Substitua quando necessário.
Output: Evite contato com outras fontes de energia. Mantenha fora da vista e use conforme indicado. Descasque ou corte a parte superior quando não estiver em uso. Se a bateria estiver vazia, adicione água destilada até 0,1 L por 30 segundos. Aplique uma leve pressão sobre a superfície. Mova lentamente para dentro de 1/3 do nível. Puxe para fora, adicionando água destilada, se necessário. Recoloque a base. Deixe esfriar por 5 minutos. Adicione mais água, se necessário, depois repita se ainda houver vapores. Desgaste o conjunto de baterias, se necessário. Mantenha a área livre de contaminantes. Drene completamente a fonte de alimentação. Use somente para o modelo especificado. Consulte o manual",Faça o descarte de forma apropriada.
Quais são as normas de segurança para acessar comp...,1.25,6.68,0.161,0.14,0.161,0.556,0.311,0.5,"Compartimentos devem permanecer fechados e travados durante a operação. Acesso só é permitido com chaves específicas da função. Níveis de entrada/saída devem ser verificados. Mova os compartimentos quando calçadas estiverem limpas e desobstruídas. Tenha cuidado com superfícies escorregadias. O acesso deve seguir normas de segurança. Inspeção deve ser realizada por técnicos qualificados. A inspeção não é permitida sem o conhecimento das normas. Não utilize se as normas forem violadas. Output: **Insira as normas aqui**
Output: Verifique condições dos compartimentos, desnivelamento, presença de crepes. Descasque as proteções nas áreas instáveis. Verifique níveis de refrigerante. Desligue equipamentos em caso de avaria. Mova as baterias se necessário. Selecione uma superfície firme, nivele e inspecione com um técnico qualificado. Use pneus reforçados com buchas, se necessário.
Output: Verifique adesivos, vazamentos de óleo e nível de óleo. Reab",Compartimentos devem permanecer fechados e travados durante a operação. Acesso só para inspeção pré-operacional.
Que simbolo de alerta de segurança indica uma situ...,2.27,1.03,0.085,0.035,0.085,1.0,0.57,0.5,"Quadrado com a letra S (indica situação de risco iminente). AUDI OVERHEAD: Indica o aparecimento de ruídos e movimentos. LIGHTS: Indica acendimento de luzes. PANIC: Sinaliza risco iminente. RUN: Descida da rampa. MOVE: Subida da rampa.
Output: *Simbolo de alerta de segurança. **Instrumento vermelho indicando perigo iminente. ***Luzes indicadoras de movimento. *Audição do sinal sonoro de aproximação da plataforma. *Redução da velocidade quando o alarme soar. *Descida da rampas. *Movimento da plataforma. *Parecimento de um objeto em direção à plataforma, se aproximando. *Direção das rodas para baixo. *Descida da lança giratória. *Chamada de atenção da buzina.
Output: Sim. **Indica risco iminente. *",Símbolo de alerta de vermelho.
