Instrução,PPL,BLEU,ROUGE-1 F1,ROUGE-2 F1,ROUGE-L F1,Faithfulness,Answer Relevance,Plan Adherence,Gerado,Referência
Quais são as diretrizes para o posicionamento segu...,15342.15,0.37,0.021,0.0,0.021,0.0,0.0,0.5,"de ,e de de de, ,a , de. de deae, de de deo,.e dea, de de de de de,,.  deea deae de ,., dea dea a de. dea, de , de e, de de, de, ,a, de de, de de,ee dee de.,aeo deea de de de.o,.a de de de, de de,, de de de de,, de,, de de..a de, de de,, de de,  de dea de.,,, de de., dee de. de de de dea,, dea,,,,a de","Mova para superfície firme, leveza, retraia se o alarme do inclinação soa."
Quais são as instruções de segurança para operar a...,12811.07,0.44,0.095,0.0,0.095,0.0,0.0,0.5,"<extra_id_0>.. na, de,  ee naa des  <extra_id_0>e, ,. ., ,,,. de de,  de de , de de ,. , ,,,,, de , aoss, dee,, de .  , de. ,, , de dee. a,o <extra_id_32>oa,aa de a de,a,,, a,  de, de <extra_id_14> ,o de.,ao, de a dea  de de de .  de,,.,,, de de de e  a ,, eoa de de ,oa. de. . de,. . ,a o,","Evite operar a máquina com raios, em tempestades, ou enquanto a plataforma está em movimento. Gire as linhas energizadas se descendo. Mova a máquina para uma superfície firme e nivelada, não use para solda ou aterramento."
Quais são as diretrizes de segurança para o contro...,10603.5,0.28,0.0,0.0,0.0,0.0,0.0,0.5,"oa,s de,e,ea,,,a,,,,ee de de,  deea.,e,,e,a,,, de,. dee dee, de dee de dee, deea dee de de de de de de de de,a, de de de de de de dee de de de,e de de. de de, deee deeee de dee de,e de dee deee deaee de de de de, dee de dee de de., de, deee deeae de de de de de de, de de dee de de de, de de de deeo de de.a,, de. de de deee",Não libere com controles da plataforma; não movimente em declive superior ou plataforma presa.
Qual é a máxima capacidade de inclinação da máquin...,194258.44,0.24,0.051,0.0,0.051,0.0,0.0,0.5,"e de,ee de,, de de..e. de de, de,a de dee, .  de de.,o de . de. de, de, e de de de. de,,,, deee.,e,,a , de de,, de,,,  deea de,., de de de, de de de dea de,e de.,, de.,ea deea de de, de,ea,,,. de.,  de,, deea., <extra_id_32>.eoa.,,,o,eae de,,,,e,, de de de,,,,a,ee deo.e deo deo de de de,,,",Inclinação máxima de 2WD
Que deve fazer a operação da máquina de lança de c...,6716.36,0.32,0.061,0.0,0.061,0.0,0.0,0.5,"de de,.o de,,, de deo, de  de deoe,a,o de dea de de de., de,  de,e, dea deaee.,o de de,,.e,.a.e deo, de dea,e,e de,,., de de ,a deaaa,e,,., de de de, de de. de, de  de de,e,o de de, de,. de, dee deoe de de,,e,.,,ee de de de, de de,a de de de de, de, de,. deeo, de <extra_id_32>,a,. de..,e,","Desligue a máquina se ventos superarem 12,5 m/s ou 17° de inclinação lateral com contrapeso."
Quais são as diretrizes para a estabilidade da cap...,4802.65,0.32,0.085,0.0,0.064,0.0,0.0,0.5,",, de,,,e,a de de. dea, de  de,, de, de de,. de de de  dee dee, deea de de dee.o de de de de,, dea,ae, de de de, de de,eo. de, deeo de,ae de dea de de de de dee, de. de, dea deaoe, de de, oa,a,,,, de.o.,a,ee, de.ea,,. de de,, de, de,, de,eee deo, de,ao de, deee de deoe,,,.a de,, dea,,",A inclinação não deve exceder 25% (14°) e depende das condições do solo e da tração.
Quais são as forças máximas permitidas para empurr...,15256.94,0.26,0.0,0.0,0.0,0.0,0.0,0.5,"ea ,o.o de de,,. de, de deo. de,e deee. de   de,,, de de de, de dea de., e de,, de <extra_id_32>a de, a,,.e de de. de  de, dee ., de de de,, de,a de de de,,,. ea,,a deaae de de de de deoe de deaa, de, dea, de, de dee de,. de de,,e. de, de  de,e,.,,,, , dee, de de,, dea de de de de de de  dee de,",400 N para ambas as regiões.
Quais ações devem ser evitadas para manter a segur...,7378.6,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,"Não altere ou desative chaves limitadoras, mantenha a lança baixa, evite terrenos irregulares."
Quais são as diretrizes de segurança para o uso da...,3196.14,0.35,0.091,0.0,0.091,0.0,0.0,0.5,".  de,,,e,e. dee, e a,, de, <extra_id_32>,, de. de, deea de., aaoaaa,,. de. oe,,,,o,, de de,,,.  de de,o, de de <extra_id_32>, deeoo de de deae,e deao, <extra_id_32> de de, de de de,,,, ,,,,,,, de,, deeo de. ,.  des, de. de,,a,,,e dee de dee de de.eeo, de...  deae. de. de, de,a a de de,a de deae,,e","Não modifique a plataforma, não trabalhe em alturas sem permissão, não empurre a máquina."
Quais práticas de segurança devem ser seguidas ao ...,5162.29,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,"Evite contato com trilhos de proteção, não prenda à estrutura adjacente."
Quais são as regras para a carga de uma máquina?...,3731.67,0.31,0.038,0.0,0.038,0.0,0.0,0.5,"a, aa  , ,.,.ae e de, <extra_id_14> de dea ae,,a, e, de  de de de,  de  de dee ,  de,ee a.,, de,,,,e de.  de dee de  deao,, de. deae,.,e., dea. dee de de de, de dea de de. de,e de de. de,e,e,, de de de.a de de de de.. dee. de,,ee. de dea. de de,,e,a, deeee de, de, de de,, de.e  deo  de de dee de de",Não coloque ou amarre cargas que se projetem para fora da máquina; não transporte materiais; utilize equipamento de segurança conforme as normas governamentais.
Quais são as diretrizes para o uso seguro de uma p...,32647.83,0.43,0.058,0.0,0.058,0.0,0.0,0.5,",a,aoo de de ,,ea de, de de de, .., de de,,,a, de de de   de  de, de dea, de. de,eea de, de de de,e.e deee, dee. dee de..e,., de dea,,a de,  de de de de dea de dea,, ,eaa de. de, de, de de ea, deee de de deao deae de de de, dee de de, dea de dee de de dea,, de de, ee,,e.a,a de,, de, dee,,.e,., de,","Mantenha a plataforma firme, não coloque em pé, suba, use escadas ou andaimes nela e não a use sobre superfícies móveis."
Quais são as diretrizes para manutenção segura de ...,3867.88,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,"Verifique pneus, calibre de ar e porças; não desça, substitua neumáticos originais."
Quais são as diretrizes de segurança para o modelo...,2330.48,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,"Mantenha o piso livre de detritos, abaixe o trilho central de entrada, não use pneus com ar, feche a porta de entrada, assegure a distribuição adequada de contrapesos."
Quais são as diretrizes de segurança para o uso da...,7911.65,0.34,0.059,0.0,0.059,0.0,0.0,0.5,"de, de dea de ,,.e,, de,e de,e  de, , deea de de.e,, dee, de de, de deaa dee de de de de  de  dee dea de de de,e de,e,, de dee de, de.,,,a de,  de  de,, de de de.a de de.,.o de. de, de, de  de de, de de de de de,a , de,, de dee dea de de,  de,.eaa,,,,  de,, dee deee.. de dea de de dea de de dea de,,a,,,, de.","Evite operar a base giratória em direção à lança ou guindaste, verifique obstruções acima do guindaste."
Quais medidas devem ser tomadas antes de abaixar a...,6635.49,0.81,0.14,0.0,0.14,0.0,0.0,0.5,"para dea. de ,.. a  de , deea  deas deo,,, de, , de,  de de dea ,,a <extra_id_14> ,  e de a ,a de,.e de de,ao e.a a,. de, dea, a",A área abaixo deve estar livre de pessoas e obstruções.
Quais são as diretrizes de segurança ao operar a m...,4095.38,0.61,0.067,0.0,0.067,0.0,0.0,0.5,"a, de,., de,,, de,e,e  dea,,,, e, de, de deoa de,e de,e,, de,a, de,,, de,,,. a,e,.e,, de de, de,o de, de. de,a de, dee,e, de,,e,aaa,, de,a de dea,ea. de,., de,. de de,,. e,,a,,,a de de,e,.,e,o de,a,e de,, de.,o  de,,,, de,  de de de, , de, de,, a de,,,","Apenas em áreas abertas, longe de combustíveis, não em locais perigosos, e sem gases ou partículas inflamáveis."
Quais medidas de segurança devem ser tomadas antes...,35525.0,0.37,0.036,0.0,0.036,0.0,0.0,0.5,"dee,a,,, de,,e dea de  de de de de <extra_id_32>,.,, de. de deo,e, dee, de de de,a de de, de,e de,a dee dea de de de de dea dea de, de de dea de de de,ee de.e de de de dee de de,ee de,e de de de dee dee de de, de, de de. de dea de de de de de de de de de,,a de deae de.e de de, dee deee de,aea de de de, de,ee de deee dea de, de dee de,","Teste funções, use óculos de segurança, retire baterias danificadas."
Que precauções devem ser tomadas com baterias?...,3890.88,0.3,0.079,0.0,0.079,0.0,0.0,0.5,", de de dea de.s,o de, de, de, de,,a  de., ,,, de dea,e, de,, de, de,, de, de, de  de,,,, de deea, deoa de de,  de,a de dea, de, ,. de,,,,. de, de, de..,,. de de,,,e de,, ,.  de,. de,,a,, de dea,e, de., de de,,e de,e,a,,.,, de de,o, de  deo.,. de de  ,o, de,,,,ae de de,, de deo., de de",Faça o descarte de forma apropriada.
Quais são as normas de segurança para acessar comp...,4943.24,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,Compartimentos devem permanecer fechados e travados durante a operação. Acesso só para inspeção pré-operacional.
Que simbolo de alerta de segurança indica uma situ...,3611.58,0.31,0.05,0.0,0.05,0.0,0.0,0.5,"..,,,,ee de de,e,.e  de. eoe, de, de <extra_id_32>,a  de de deeo, de, dea., e,a,,a,,., , de de  de, dea de de dea de de, de de de,   de.e, de de,. de,  de, deo. a. dee. de,  oae de de,,,,,e de,. de <extra_id_32>e, de de, de, ,, de,,,,a de,, de,, de,. de, dee, de de de de de de  dee de,., de.,,,,,a de,",Símbolo de alerta de vermelho.
Qual é o significado de um símbolo de laranja com ...,289876.55,0.31,0.025,0.0,0.025,0.0,0.0,0.5,"de,, de,a de. de de, de de,,... de, de de.ea de de,e,,,,   de a,,, de a, e,, de,. e, de ,.,,,,, dea  de ,ee.aa de de, de de de. de. de de,,aae,, de de, ,a, de de  de de,   de de dee de de de,a de dee de,, de de, de deee, deo de,, deeae de,,e de  de,e de de. ,e. dea de deo de, de,,",Indica risco de morte ou acidentes graves.
Quais cores são usadas para indicar riscos de segu...,11130.86,0.31,0.0,0.0,0.0,0.0,0.0,0.5,",, de,  dea,, de de  de,,,e de, de, de, ,a de, dea, , de. de,,,, de de,,,, de,e. de de, de,,o de de,,e,, de. de, deo, de de de de,ee de,,a,,  de deeea de, a, dea a, de, de.,. de  deaoe de de, , de ., de de, de, de de,, de. de,e de.,e de, de,, de,  de ,,,.a de,,a, dee de","Amarelo indica riscos, verde indica informações."
Quais elementos na lista incluem controles de segu...,80459.05,0.32,0.0,0.0,0.0,0.0,0.0,0.5,", dea,., de.  dea. de dea,  dea dea de e de, de de. de.,,  deeea,e de deo <extra_id_32> de,a,,,,a,, ,,,. de..,.,, de, de,,, de   ,,,a. de,o.,,, ,,, , de de,, de de., de de ,,e,,   de de,,,a de de. de, ,,, de,o,  , , dee,o, de.ee, de de, de,  deee de de,a de de deee,.,.,e,a,.,","3, 7, 11, 13"
Quais controles são específicos para modelos Z-45/...,1437.47,0.71,0.091,0.0,0.091,0.0,0.0,0.5,"a dee,e, de, de. de dea de de dea, de de,, de, ,a dee,,.,e, de de de,, ,a de de,e deea, de de dea de de, de. de, de. de. de, de de  de de de dea,. de,a de de  de.e dea dee de de,. de, de, de.  de,, de de. de., de.,e de de de,e  dea dea , de de de,. deo de,, de,e de de de de dee de de dea dee de deeaa de. a,e de dee,,,ae dee","Chave de elevação, botão vermelho de parada de emergência, e chave de giro da base giratória."
Quais são as chaves necessárias para controlar a t...,2401.56,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,"Chave de elevação/descida da lança primária, chave de temperatura da água."
Quais peças são necessárias para a verificação do ...,126843.28,0.52,0.098,0.0,0.098,0.0,0.0,0.5,".e, de de de,  de.e dee.eaa,, de de.,.,eaa deo,o dee de de, de  de dea dee, de de de,e de de, ,aa dee de de,a de de deeee dee de de dee de de de de de,e, de dee dea de., dee de,e de,ea de de de de de de de de de,eee de deea de de de dee de de de dea de deaeee de dee, de de dee de de dea. de. deaee, de de,e de,","Chave de elevação/descida da lança secundária, disjuntor de 15 A para circuitos elétricos, lâmpada de controle, verificação do motor, lâmpada de pressão do óleo."
Quais são as funções de cada botão no painel de co...,8903.62,0.49,0.164,0.017,0.164,0.0,0.0,0.5,"de ,,, de  de dee de, de,,. de des,o,e dea dee, de, dee, de  de de de de deo de deaa de, de,, de de de de,e., deo de  dea de, dea de ,, o de,,.,,ae deoa, de de de de de de de, de de dee de  de,e,,, de de,, de de de, de ,, de de.,,,a,aa, de,e,, dee. de deo,,,,,,a dee,.,a., de. deae deeo  de,ee de de","Botão da buzina - sinalização, Chave seletora da velocidade de operação - ajuste de velocidade, Chave de nível da plataforma - ajuste de nível, Chave de giro da plataforma - mudança de posição, Chave de partida do motor - ativação do motor."
Quais são as características da chave de seleção d...,9085.99,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,"Chave de 9 rpm, elevação/descida do jib"
Qual é o principal uso da Alavanca de controle pro...,5106.77,3.22,0.333,0.0,0.333,0.0,0.0,0.5,"de e , <extra_id_14>,s., ,o",Controle de movimento e direção da lança secundária.
Quais funções são indicadas pelas lâmpadas na plat...,3468.52,0.69,0.092,0.0,0.092,0.0,0.0,0.5,"de, de., de deaee de, deo, de,e,ea de deo.,o de. ,,,ee,oe. ,. ,ea, de a, se,a . de , de.  a. de .  dea,a,, . de.,,  de a,., deo, de ,o,,e ,a,, dea,oa de, dea  de,,,, , deo ., ,ao a,ae, de de de,,,,  dea <extra_id_32>, deo,.,  dea, ,, .,o, dea deee,,","Indicam direção, sobrecarga, desnivelamento, e habilitação do movimento."
Quais são as etapas envolvidas no processo de insp...,3006.99,0.37,0.049,0.0,0.049,0.0,0.0,0.5,",,.,  de, de. dea de,a de,  de,ea, dee, de dee. de de, de. dea, de deee, de ,e dee deeae,e,, dee de de, deeo de de de de de, de .a. deaa. de. de de de, de de de, dea de de, de de,ee ,a dea,, de de,,,aoe de deoe ,, de deeee de,, de de  dee de de.,,,,, de, de de,a,. , de dea de de,, de, de,",Realizar inspeção visual antes de cada turno de trabalho.
Quais são os passos iniciais antes de operacionali...,20897.62,0.33,0.128,0.022,0.128,0.0,0.0,0.5,"de,,, <extra_id_32>o.e, de <extra_id_32> dea, de de, . <extra_id_32> de, de de,a ,, de,, de,,,,,,,, dea,,, de, de,,e.,a. <extra_id_14> de des,, de,,o de, ,,, de ,,e, de.  deo, dee,aa,  de de de deeo dea, de de, deeee de.,,,eaa de,e de,,,,,e,o de, de.a de.a deea de de,,, de,, de,e de. de e de de dee de dee. dee, de de de dee",Realize testes de funções e verifique a necessidade de manutenção de rotina.
Quais são as primeiras etapas da manutenção de rot...,9871.36,4.03,0.0,0.0,0.0,0.0,0.0,0.5,",.,. dea, dea, de de,o","Evitar riscos, fazer inspeções pré-operacionais."
Que procedimento deve seguir um técnico qualificad...,22801.29,0.35,0.046,0.0,0.046,0.0,0.0,0.5,"de dea,,,  de de,e de deo, , ..e,e dee, de,ee,,  de.  de de de,, de dee, dee de,oa,,, de., de de de de,ee,,, de de de,,  de, dea, de de dea,aa, dee deea de, de de., de,e, dee,,,, de, de de de dee de de  dea, de de, dea de de de,a de de, de de de de deae,ae. de.e, de de,,e, dee de de de dee de,o de de",Identificar e remover a máquina.
Quais são os requisitos para executar inspeções de...,1914.41,0.58,0.067,0.0,0.067,0.0,0.0,0.5,"de de,o, de de, de  de dea, dea de dea ,,e,e, de <extra_id_14>,, de de,. de,.eeo,,,,, de, de de de. de. de , de deo., de,o,,e de, de  de de de.,,a deo.,e de a deo, de, de de,, deo.,. oe.,,,, de a de,, de,,. de.ee,  de, de. dee,,, de <extra_id_32> ,,, de de de,a de.,a.,,,,,.o, de,a deoeo, deoa de,","Realizadas por técnicos qualificados, de acordo com especificações do fabricante e manual de responsabilidades."
Quais itens devem ser verificados durante a inspeç...,12706.88,0.4,0.022,0.0,0.022,0.0,0.0,0.5,"a de, de de, dee, de de de,o de de.. dea de deeaaeeeae, de, de de de de, de de de, de deeae de,,, de de,a,ae de.e,e, deo de,,,,ee de.e, dea., de de de de dee dee de.e, de de de de de. de de,, de, , de de,,., de de,.e, de de, de deo de dee,e de,,,e de <extra_id_32> ., de de,,,, dea,,, de,,e., de,, deae de.a","Pneus, rodas, manuais do operador, chaves limitadoras, buzina, alarmes e sinalizadores."
Quais são os primeiros passos para garantir a segu...,2435.81,0.36,0.099,0.0,0.099,0.0,0.0,0.5,"e a de,,.,, deoe,, de de , de de,a e de,,,, de,.. de,,,a.a,e,,,e, deaao,,,,,,e de,, de, de ,,e de,, dea <extra_id_14>e,, de,a de,,,,,,, de de, ., de de,,e,.  de de deee, deeae,,, de, de,o,,,a de,,a de, de,o,,, de,.. de de de,e,,,, de,,, , de,, de de, dea <extra_id_32> dea de,","Verifique adesivos, vazamentos de óleo e nível de óleo. Inspecione a máquina por completo."
Quais problemas de manutenção devem ser verificado...,2168.46,0.33,0.04,0.0,0.04,0.0,0.0,0.5,"dea.,o,,, , de, de de  deo..,,e de, ,,ooa,a de de de <extra_id_32>,. de de de,a de de , de,e. de ,a, de de deo de deaa., de de de,,,a,, de.e de deo,ee,, de,a de,,a, de de, de,e,,,ea.. de.a., deea de de, de dee <extra_id_32> de, de, de,,  de de de <extra_id_32>e, de,, , de. de dea de. de, de,e de,,,,,e,. e a de, de,,, de","Trincas, vazamentos de óleo, níveis de óleo incorretos, deformações ou danos na máquina."
Verifique o nível de refrigerante do motor....,12455.88,0.34,0.049,0.0,0.049,0.0,0.0,0.5,"deae de,,a,, dee dee dee  de dea.e,ae,,. de, de,e,, ,,,, dee, de, de, dee, a de de, de ,ao dee  de de , de o,.a,,ee,ee dea de de,a,  de,a,,,...e de.. , de de.,,,e,. de,, deeo dee de deo, a. de eaee, dea,.a dee,e de de de, de, de,e de dee de  de., de , de  de,.e,e..., de de",Verifique se o nível de refrigerante do motor está correto.
Quais componentes devem ser verificados ou substit...,119809.11,0.0,0.0,0.0,0.0,0.0,0.0,0.5,"a de dee,, de de de,a,, de, de  ,,s  de,,.e de dee  de de ,,oea de, de de.a, de,e dea,o, e de . , de, de de, e de  de  ,., de de de de  de,, dea,a. dee de de dea dea.  dee de e , de,, de, de de.,. de,e. de,ee,, de, de, de, de, de  de,e, ,,  dea,, de,  de de dee,  deee, dee,e de,e",Componente do motor
Quais procedimentos devem ser seguidos para o moto...,2566.94,0.54,0.069,0.0,0.046,0.0,0.0,0.5,", <extra_id_0> .,,,,,,.., de,e, dea <extra_id_0>.  <extra_id_32>  <extra_id_0>ae,,, ,, . de..,,, de,, <extra_id_14>  <extra_id_32>. .   ,.s, ea,  de  de <extra_id_0>, de , de de a,.,, , de de dee . deaa , ,e de ..e.aa. a de de  de .,,.,a.a de, ,a de de , ,,. de aao de,,,,.eea de de.,a. de,o,,o.,,. de,,, de,,,.","Verifique o nível de óleo, adicione óleo se necessário, e as inspeções devem ser realizadas por técnicos qualificados."
Quais são os tipos de óleo especificados no manual...,14089.95,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,"15W-40, 5W-40, 10W-40, 5W-30"
Quais condições devem ser atendidas antes de reali...,11630.37,0.23,0.0,0.0,0.0,0.0,0.0,0.5,"oe de.,o.,e de de,.,,,a,,,, dee, <extra_id_32>, de.a,,. de,.,,,,,o dea de,, o de de,e de,,,,,. de,. . de de  de, de de de, dee,, a,,e dea,,., de,, de,,., de e.a.aa,  dee, de de deee.e,a de,, de de. de.,aa,,,,a,,a., de de,,e. de deoo de,.a de. de,, de deo, de dea,,,",Motor deve estar frio.
Quais são as recomendações de manutenção para o mo...,1362.31,0.32,0.038,0.0,0.038,0.0,0.0,0.5,"de de,. de de dee,,a de.,e de <extra_id_32>,,.a, de de,a de, de dea de de, de,a, de, deee de, deae dee, de de de, de de de, de, deaa, de,.e de dee,,, de. de de de,aa,e de de,e de, de,e de de dea de de. de, de de de. de dee. de, de de. de, deeae,e de,eeae de dee de de, de de, de de,e de,a de de,e de deae deeaee de, de de de de de.",Verificar o nível de óleo e refrigerante do motor.
Que indica a existência de variações no nível do f...,7318.95,0.1,0.012,0.0,0.012,0.0,0.0,0.5,"para <extra_id_0> <extra_id_0> de de <extra_id_0> <extra_id_0> <extra_id_0> de  <extra_id_0>  <extra_id_0> <extra_id_0>o <extra_id_0> de <extra_id_0> <extra_id_0>, de <extra_id_0> <extra_id_0> de. <extra_id_0> . , de,  <extra_id_0> ,  <extra_id_0> de, de na de te, <extra_id_0> <extra_id_0> <extra_id_0>,  <extra_id_0>s de de, , de,. de, de.  <extra_id_32>  <extra_id_0>,, ,  <extra_id_0> de . .oe de <extra_id_32> <extra_id_0>as.  <extra_id_0>, s de de,..,,. s  de de  <extra_id_0>, am. dea  <extra_id_0>., de  . .,, e, os  <extra_id_0>a, s  de, , de <extra_id_14>,. am <extra_id_0> <extra_id_32>  <extra_id_0>,t <extra_id_32>  <extra_id_0>,aa  <extra_id_0>,. de,.",O inspetor identificando variações no nível do fluido refrigerante.
Quais são as diretrizes para verificar o nível de ...,3707.66,0.43,0.065,0.0,0.065,0.0,0.0,0.5,".,,,a,,a..e de de de,, de de deo de a. de,e,a, de, dea,.ea de,,. de, deo., de de de de,eee, de,a de,e de dee, de aoa,o de de de a,,, de.,, de de de de de  deea de de, dee de de,,,eea, de, de,.ea de de de, de .,, de dea de ,eo,, de,, de, de de de de,, deaee, de, de, de,., de de, de.e de",Coloque o indicador de peças quentes do motor dentro dos 5 cm dos níveis de óleo. Evite contato com peças quentes do motor ou fluido refrigerante para evitar queimaduras. Aplique óleo adicional se necessário. Verifique o nível de óleo no tanque.
Qual é o número de peça correto para o óleo hidráu...,338250.37,0.0,0.0,0.0,0.0,0.0,0.0,0.5,"dee,e,e,e,ee,e, de,e,a dea, deo dea de, de de dee, de dee de, de de, deo de de de, de de de,e de.e dee de de dea,, deae dee,,e de de. de de, de deo de deee dea de, de, de,,e deee de dea dea de de dee de de, de de dea de de de, de de, de de dee de de de de de de dee de de dee, dee de de dee,, dee de de de dea de de de de de, de",110015PB
Quais são as duas verificações de segurança mencio...,4201.4,0.28,0.091,0.0,0.091,0.0,0.0,0.5,"dea de,e,,,, de de de <extra_id_14>,,,,,,,,,o de,e de,.,, de,eee, de,e de de de, a ,,e,e.. deae de de de de de,a de, de. de. dea,e...e, de.e de,, dee. de,.  dea deae de,a, dee de de,,, e deo.,,. , deee de,e.e de,e,ae,o de de, de dea  de,a dea,aee de de.e,a, dea de, de dea ,,,,,o de",Verificação da pressão dos pneus e condição da bateria.
Quais perigos são associados a baterias sob pressã...,7222.65,0.35,0.111,0.0,0.111,0.0,0.0,0.5,",,..,, de de, de,,. de,e dea, de.,, dea.,.,eo dea,,  de deoe de, ,,.e. de,., de.a, , de,..aa. de de,se de,, de, de,,e. de  deeaa de de..,a de. , de de de deoaa de,ao a,,eo,., de,e,a, de,e,e dee, de, deae de de.,,ae,,,,a de, de,o,,.,, dea,,a de de,a,,,e, de",O risco de estouramento e exposição a ácido.
